name_rus|name_eng|description|text|keys
"Электроприборы"|"electrical_appliances"|"техническое устройство, приводимое в действие с помощью электричества и выполняющее некоторую полезную работу, которая может выражаться в виде механической работы, выделения теплоты и пр."|"К распределительной сети было подключено 10 тысяч осветительных ламп, 562 электрообогревателя, установленных преимущественно в каютах первого класса, холодильная установка, 153 электродвигателя, в том числе электроприводы для 8 кранов грузоподъёмностью от 3 до 5 тонн, 4 грузовых лебёдок грузоподъёмностью 3 тонны и 4 шлюпочных лебёдок грузоподъёмностью 750 кг, 4 лифтов, каждый на 12 человек. Помимо этого, электричество потребляли электроплиты, утюги, десятки других машин и приборов в кухнях, электрованна (прототип солярия), радиоустановка, судовые телефоны, тренажёры в гимнастическом зале, вентиляторы в котельном и машинном отделениях и десятки контрольных ламп."|"tags";RMS Titanic;Первый и последний рейс;Электричество;Убранство
"Связь"|"communication"|"совокупность устройств и технических средств, обеспечивающих передачу и прием команд, сигналов, переговоров"|"Внутрисудовая связь обеспечивалась посредством телефонов. Телефонные линии связывали капитанский мостик с полубаком, кормовым мостиком, марсовой площадкой, контрольным мостиком машинного отделения; машинное отделение с каютой главного механика и котельными; кладовые с пекарней и камбузом. Применялись морские телефонные аппараты громкой связи новейшей конструкции, изготовленные фирмой «Алфред Грэм & К°». Исключением являлась каюта главного механика, в которой был установлен универсальный аппарат со звонковым и голосовым вызовом. В рулевой рубке мостика установили четыре телефона, каждый из них был снабжён индикатором, на котором во время поступления вызова в дополнение к взведению флажка загоралась сигнальная лампа. Три аналогичных аппарата использовались в машинном отделении. В каждой котельной и на марсовой площадке телефон ставился под металлический козырёк."|"tags";RMS Titanic;Конструкция;Убранство;Безопасность
"Водоснабжение"|"water_supply"|"основное назначение систем бытового водоснабжения и сточных — снабжать экипаж и пассажиров водой для бытовых нужд, а также удалять с судна нечистоты и загрязненные (сточные) воды"|"Система водоснабжения на «Титанике» выполняла ряд важнейших функций. Техническая пресная вода подавалась в котлы, её пар служил рабочим телом для энергетической установки; питьевой водой снабжались кухни, каюты и общественные уборные; морская вода использовалась в качестве балласта, циркулировала по трубкам конденсаторов, подавалась в плавательный бассейн, ванные и туалеты, подводилась к пожарным гидрантам. Питьевая вода была закачана в шесть расположенных по обоим бортам тринадцатого отсека танков общей ёмкостью 792 тонны, в танк у переборки С в четвёртом отсеке ёмкостью 170 т, а также в три танка междудонного пространства ёмкостью 1002 тонны. Остальные танки двойного дна занимала балластная вода. За время плавания на борту сжигались сотни тонн топлива, расходовалось огромное количество воды и провизии. Для сохранения мореходных качеств лайнера этот вес восполнялся при помощи водяного балласта, который закачивался в танки по мере необходимости. Забор балластной воды осуществлялся электронасосами через входные отверстия в днище диаметрами 13, 15, 20 и 25 см. Конструкция двойного дна позволяла закачивать до 3790 т балласта."|"tags";RMS Titanic;Конструкция;Убранство;Безопасность
"Шлюпки"|"dinghies"|"малое беспалубное мореходное судно для транспортирования людей и грузов, а также для спасения личного состава на воде"|"На борту «Титаника» имелось 20 спасательных шлюпок: 16 шестивёсельных деревянных шлюпок, подвешенных на шлюпбалках, и 4 четырёхвёсельные складные шлюпки с деревянным днищем и парусиновыми бортами. 14 из 16 деревянных шлюпок могли взять на борт 65 человек. На первых от капитанского мостика шлюпбалках крепились вываленные за борт «дежурные» шлюпки вместимостью 40 человек. Они предназначались для экстренного спуска в случае возникновения чрезвычайной ситуации (например, обнаружение человека за бортом). Складные шлюпки были рассчитаны на 47 человек каждая. Общая вместимость шлюпок составляла 1178 человек, в то время, как пароход был рассчитан на 2556 пассажиров и 908 членов экипажа."|"tags";RMS Titanic;Конструкция;Судно;Безопасность
"Каюты"|"cabins"|"помещение на судне или корабле, оборудованное для проживания людей, а также различных служебных целей"|"Каюты первого класса размещались на палубах от A до Е в центральной части судна, что позволяло свести к минимуму воздействие на пассажиров килевой и бортовой качек, а также избавить от шума и вибраций, создаваемых двигателями и гребными винтами. На «Титанике» насчитывалось 370 кают для 739 пассажиров первого класса. Их вместимость не превышала четырёх человек. Наиболее дешёвые и просто обставленные каюты первого класса располагались на палубе Е. В них устанавливались латунные койки с ограждениями, предотвращающими падение при качке. На стены кают, обшитые окрашенными деревянными панелями, помещались репродукции картин, имелась кнопка вызова стюарда. Самые роскошные каюты находились на палубах В и С. Их интерьеры были оформлены в 19 различных стилях, включая стиль итальянского возрождения, королевы Анны, Людовика XV, георгианский, старо- и новоголландский и другие."|"tags";RMS Titanic;Первый и последний рейс;Убранство
"Общественные помещения"|"public_premises"|"общественные помещения первого класса «Титаника» были оформлены в стиле ренессанс и в викторианском стиле"|"Дизайн интерьеров напоминал английский загородный дом или английскую усадьбу. Один из пассажиров отмечал: «в салонах корабля совершенно забываешь, что находишься на борту судна, скорее кажется, будто входишь в зал какого-то великолепного дома на побережье». На палубе G размещался зал 9 ? 6 м для игры в сквош, здесь же, поставив сетку, люди могли поиграть в теннис. В задней части корта имелась галерея для зрителей, новичков обучал инструктор. На палубе F располагался плавательный бассейн 10 ? 4 м и комплекс турецких бань. Бассейн глубиной 1,8 м наполнялся подогретой солёной водой, сбоку имелись душевые кабинки и раздевалки."|"tags";RMS Titanic;Первый и последний рейс;Убранство
"Экипаж"|"crew"|"группа людей, объединённых в упорядоченную иерархическую структуру с целью выполнения совместной работы или совместного задания на движущемся средстве"|"Командовать «Титаником» в первом рейсе было поручено Эдварду Джону Смиту — самому опытному капитану «Уайт Стар Лайн», его капитанский стаж насчитывал 25 лет. Он возглавил экипаж численностью более 900 человек, из них лишь 23 женщины (в основном стюардессы). По завершении триумфального рейса Смит намеревался уйти на пенсию. В экипаж «Титаника» входили 8 офицеров (капитан и семь его помощников), 324 члена трюмной команды (механики, кочегары, смазчики, штивщики), 58 членов палубной команды (рулевые, вперёдсмотрящие, уборщики), 335 стюардов, 69 человек обслуживающего персонала обеденных салонов (повара, официанты), 8 музыкантов, 5 сотрудников почтового отделения, а также спортивные инструкторы, прачечники, типограф."|"tags";RMS Titanic;Первый и последний рейс;Люди
"Пассажиры"|"passengers"|"максимальная пассажировместимость «Титаника» составляла 2439 человек (739 мест в первом классе, 674 во втором и 1026 в третьем)"|"В апреле спрос на трансатлантические рейсы был традиционно низок, поэтому «Титаник» был загружен только наполовину. На темпе продажи билетов пагубно отразилась и шестинедельная забастовка угольщиков, которая закончилась всего за четыре дня до отплытия из Саутгемптона. Забастовка вызвала перебои с поставкой угля, нарушив графики отправления в рейсы пароходов, и потенциальные пассажиры «Титаника» были вынуждены изменить свои планы. Чтобы не смещать дату отправления лайнера в первый рейс, руководство «Уайт Стар Лайн» приняло решение пополнить угольные бункеры «Титаника» за счёт других кораблей компании, пришвартованных в Саутгемптоне. Некоторые пассажиры задержанных рейсов согласились пересесть на «Титаник», причём с понижением класса, так как билеты на новый лайнер стоили дороже."|"tags";RMS Titanic;Первый и последний рейс;Люди
"Грузы, почта"|"cargo_mail"|"«Титаник» являлся Королевским почтовым судном, о чём свидетельствовал префикс RMS (Royal Mail Ship)"|"Перед выходом в рейс в почтовый отсек через люк на носовой межнадстроечной палубе лайнера было загружено 3364 50-килограммовых мешка с почтой. За восемь дней плавания почтовым клеркам предстояло отсортировать около 40 000 писем и бандеролей по штатам и городам США. Для багажа пассажиров первого и второго классов отводилось место в третьем грузовом отсеке. Багажное отделение третьего класса на «Титанике» отсутствовало. Среди грузов, перевозимых пассажирами, были частично разобранный автомобиль Рено Туре СВ 12CV Coupe de Ville 1912 года выпуска, принадлежащий Уильяму Картеру, мармеладная машина Эдвинны Трут, картина Мерри-Жозефа Блонделя, принадлежащая Морицу Стеффансону, три ящика с египетскими фигурками, транспортируемыми для Денверской художественной галереи Маргарет Браун, и др."|"tags";RMS Titanic;Первый и последний рейс;История
"Предпосылки строительства"|"building_background"|"проектированием судов класса «Олимпик» занялся конструкторский совет верфи «Харленд энд Вулф»"|"В 1907 году компания «Кунард Лайн» ввела в эксплуатацию паротурбоходы «Мавритания» и «Лузитания» — на тот момент самые большие суда в мире. Кроме того, они были способны развивать скорость до 25 узлов (46 км/ч), что позволяло им пересекать Атлантический океан за 5 дней. Появление больших, быстроходных и надёжных лайнеров у основного конкурента пагубно отразилось на прибыли «Уайт Стар Лайн». Её исполнительный директор, Джозеф Брюс Исмей, проконсультировавшись с президентом ирландской судостроительной верфи «Харленд энд Вулф» Уильямом Пирри, принял решение о строительстве двух суперлайнеров, не столь быстроходных, как «Лузитания» и «Мавритания», но превышающих их по водоизмещению, пассажировместимости и уровню сервиса. По замыслу руководителей судоходной компании, первым заступить на службу должен был пароход «Олимпик», а через 10 месяцев — «Титаник»."|"tags";RMS Titanic;Постройка;Судно;История
"Подготовка постройки"|"сonstruction_preparation"|"контракты на его строительство были заключены в 1903 году со сроком исполнения в 3,5 года"|"Главным подрядчиком стала лондонская фирма «Scott & Middleton», но местные компании тоже вовлекались в работы стоимостью ? 350 000. Длина дока составляла 259 м, ширина — 39 м, толщина основания — 6 м. Перед началом строительства в устье реки Лаган были проведены дорогостоящие дноуглубительные работы. Док предназначался для достройки и ремонта больших судов, таких как лайнеры класса «Олимпик»."|"tags";RMS Titanic;Постройка;Судно;История
"Стапельный период"|"slipway_period"|"чертежи будущего гиганта были одобрены 29 июля 1908 года. «Титанику» был присвоен серийный номер 401"|"Киль лайнера был заложен 31 марта 1909 года. Постройка «Титаника» велась по классической схеме: на горизонтальный киль — монолитный стальной брус толщиной 7,62 см, устанавливался вертикальный. К нему крепились балки, соединённые между собой стальными клёпанными листами, которые образовывали настил второго дна. По бокам от килевого бруса устанавливались стрингеры, обеспечивающие продольную жёсткость вдоль длины корпуса. На судах класса «Олимпик» устанавливали по 4 днищевых стрингера на каждой стороне между центральной балкой и крайним листом. Кроме них, под будущим машинным отделением для повышения жёсткости установили дополнительные стрингеры. После сооружения настила второго дна перпендикулярно к килю с обоих бортов устанавливались стальные шпангоуты, представляющие собой профильные балки. Шпангоуты правого и левого бортов соединялись поперечными стальными балками — бимсами, на которых крепились палубные настилы. К 20 ноября 1909 года был готов основной металлический остов — каркас из переборок и 300 поперечных стальных шпангоутов."|"tags";RMS Titanic;Постройка;Судно
"Спуск на воду"|"launching"|"Спуску лайнера на воду предшествовала длительная подготовка"|"Вначале разбирались леса. Затем масса ещё не полностью построенного судна с подкилевых дубовых колодок переносилась на гидравлические курки, после чего из-под днища убирались опоры и стойки, которые поддерживали корпус в требуемом положении, крепились деревянные салазки. По окончании этой операции тщательно смазывались спусковые дорожки. Для спуска большого судна на эти цели уходило 23 тонны паровозного масла, смазки из рыбьего жира и жидкого мыла."|"tags";RMS Titanic;Постройка;Судно
"Завершение постройки"|"сompletion_of_construction"|"После спуска на воду «Титаник» отбуксировали на достроечный причал, где проходили дальнейшие работы"|"В ходе достройки предстояло установить всё тяжеловесное оборудование (котлы, паровые машины, турбину, румпельную машину, генераторы и прочие узлы), поставить дымовые трубы и мачты, подвести коммуникации, отделать и меблировать помещения. На момент начала достроечных работ масса корабля (по сути, лишь каркаса, обшитого листами) составляла 26 тыс. тонн. Поначалу «Титаник» ничуть не отличался от своего «близнеца» «Олимпика». В первом рейсе «Олимпика» принял участие Брюс Исмей, в ходе путешествия он отметил ряд мелких недостатков, которые были исправлены на «Титанике». В частности, Исмей обратил внимание на чересчур просторные прогулочные палубы. На «Титанике» лишние площади были заняты дополнительными каютами. Также на «Титанике» был увеличен холл для приёмов первого класса, показавшийся Исмею на «Олимпике» слишком тесным."|"tags";RMS Titanic;Постройка;Судно
"Ходовые испытания"|"sea_trials"|"После завершения достроечных работ «Титанику» предстояло пройти ходовые испытания, по результатам которых комиссия Министерства торговли Великобритании должна была подтвердить соответствие корабля требованиям технического задания"|"Изначально первое испытание на море было запланировано на 29 марта, но в тот день из-за резко ухудшившейся погоды и штормового ветра его пришлось отложить на четыре дня. 2 апреля 1912 года в 6:00 «Титаник» буксирами был выведен из доков Белфаста по каналу Виктория в Белфастский залив. На борту находились 119 членов экипажа, в том числе 78 членов трюмной команды (кочегары, смазчики, штивщики) во главе с капитаном «Олимпика» Эдвардом Смитом, также на борту присутствовали главный конструктор Томас Эндрюс (как представитель верфи «Харленд энд Вулф»), компанию «Уайт Стар Лайн» представлял партнёр Исмея Гарольд Сандерсон, в комиссию Министерства торговли входили порядка 30 чиновников и инспекторов."|"tags";RMS Titanic;Постройка;Судно
